Job_ID,Job_Role,Skills,Skills_Normalised,Skills_List,Projects,Companies,Domain,Target_Students,Experience_Label,Experience_Level,Salary_Range,Salary_Min,Salary_Max,Salary_Avg,Has_Salary_Data,Skill_Count,Skill_Count_Outlier,Embedding_Text
1,Full Stack Developer,"JavaScript, Python, React, Node.js, MongoDB, AWS, Frontend + Backend Skills, Databases, API, Git, Debugging, Problem Solving",javascript | python | react | node.js | mongodb | aws | frontend + backend skills | databases | api development | git | debugging | problem solving,"[""javascript"", ""python"", ""react"", ""node.js"", ""mongodb"", ""aws"", ""frontend + backend skills"", ""databases"", ""api development"", ""git"", ""debugging"", ""problem solving""]","E-commerce Platform, Social Media Dashboard","Google, Facebook, Amazon",Technical,College,Mid-level (2-5 years),2.0,"$90,000 - $140,000",90000,140000,115000,True,12,True,"Job Role: Full Stack Developer. Skills: JavaScript, Python, React, Node.js, MongoDB, AWS, Frontend + Backend Skills, Databases, API, Git, Debugging, Problem Solving. Projects: E-commerce Platform, Social Media Dashboard. Experience: Mid-level (2-5 years)"
2,Financial Analyst,"Financial Modeling, Excel, Bloomberg Terminal, Risk Analysis",financial modeling | excel | bloomberg terminal | risk analysis,"[""financial modeling"", ""excel"", ""bloomberg terminal"", ""risk analysis""]","Investment Portfolio Analysis, Market Research Reports","Goldman Sachs, JP Morgan, Morgan Stanley",General,College,Entry-level (0-2 years),1.0,"$75,000 - $95,000",75000,95000,85000,True,4,False,"Job Role: Financial Analyst. Skills: Financial Modeling, Excel, Bloomberg Terminal, Risk Analysis. Projects: Investment Portfolio Analysis, Market Research Reports. Experience: Entry-level (0-2 years)"
3,Mechanical Engineer,"AutoCAD, SolidWorks, FEA, GD&T, CAD, Thermodynamics, Fluid Mechanics, Material Science, Problem Solving, Manufacturing Processes, MATLAB, Stress Analysis, 3D Modelling",autocad | solidworks | finite element analysis | geometric dimensioning and tolerancing | cad design | thermodynamics | fluid mechanics | material science | problem solving | manufacturing processes | matlab | stress analysis | 3d modelling,"[""autocad"", ""solidworks"", ""finite element analysis"", ""geometric dimensioning and tolerancing"", ""cad design"", ""thermodynamics"", ""fluid mechanics"", ""material science"", ""problem solving"", ""manufacturing processes"", ""matlab"", ""stress analysis"", ""3d modelling""]","Product Design, Manufacturing Process Optimization","Boeing, General Electric, Siemens",Technical,College,Mid-level (2-5 years),2.0,"$85,000 - $120,000",85000,120000,102500,True,13,True,"Job Role: Mechanical Engineer. Skills: AutoCAD, SolidWorks, FEA, GD&T, CAD, Thermodynamics, Fluid Mechanics, Material Science, Problem Solving, Manufacturing Processes, MATLAB, Stress Analysis, 3D Modelling. Projects: Product Design, Manufacturing Process Optimization. Experience: Mid-level (2-5 years)"
4,Clinical Research Coordinator,"Clinical Trial Management, GCP, Medical Documentation, Patient Interaction, Data Entry, Clinical Trial Protocols, Observation, Reporting",clinical trial management | google cloud platform | medical documentation | patient interaction | data entry | clinical trial protocols | observation | reporting,"[""clinical trial management"", ""google cloud platform"", ""medical documentation"", ""patient interaction"", ""data entry"", ""clinical trial protocols"", ""observation"", ""reporting""]","Drug Trial Management, Patient Data Analysis","Pfizer, Johnson & Johnson, Novartis",Medical,College,Senior-level (5+ years),3.0,"$70,000 - $100,000",70000,100000,85000,True,8,False,"Job Role: Clinical Research Coordinator. Skills: Clinical Trial Management, GCP, Medical Documentation, Patient Interaction, Data Entry, Clinical Trial Protocols, Observation, Reporting. Projects: Drug Trial Management, Patient Data Analysis. Experience: Senior-level (5+ years)"
5,Investment Banking Associate,"Financial Modeling, Valuation, M&A, Due Diligence",financial modeling | valuation | mergers and acquisitions | due diligence,"[""financial modeling"", ""valuation"", ""mergers and acquisitions"", ""due diligence""]","Merger Analysis, IPO Documentation","Goldman Sachs, Morgan Stanley, BlackRock",General,College,Mid-level (2-5 years),2.0,"$150,000 - $250,000",150000,250000,200000,True,4,False,"Job Role: Investment Banking Associate. Skills: Financial Modeling, Valuation, M&A, Due Diligence. Projects: Merger Analysis, IPO Documentation. Experience: Mid-level (2-5 years)"
6,Supply Chain Manager,"ERP Systems, Logistics, Inventory Management, Six Sigma",erp systems | logistics | inventory management | six sigma,"[""erp systems"", ""logistics"", ""inventory management"", ""six sigma""]","Supply Chain Optimization, Vendor Management","Amazon, Walmart, P&G",General,College,Senior-level (5+ years),3.0,"$100,000 - $150,000",100000,150000,125000,True,4,False,"Job Role: Supply Chain Manager. Skills: ERP Systems, Logistics, Inventory Management, Six Sigma. Projects: Supply Chain Optimization, Vendor Management. Experience: Senior-level (5+ years)"
7,Biomedical Engineer,"Medical Device Design, FDA Regulations, CAD",medical device design | fda regulations | cad design,"[""medical device design"", ""fda regulations"", ""cad design""]","Medical Device Prototyping, Clinical Testing","Medtronic, Boston Scientific, Phillips",General,College,Mid-level (2-5 years),2.0,"$90,000 - $130,000",90000,130000,110000,True,3,False,"Job Role: Biomedical Engineer. Skills: Medical Device Design, FDA Regulations, CAD. Projects: Medical Device Prototyping, Clinical Testing. Experience: Mid-level (2-5 years)"
8,Quantitative Trader,"Python, Machine Learning, Statistical Analysis, Trading Algorithms",python | machine learning | statistical analysis | trading algorithms,"[""python"", ""machine learning"", ""statistical analysis"", ""trading algorithms""]","Trading Strategy Development, Risk Models","Citadel, Two Sigma, Renaissance Technologies",General,College,Senior-level (5+ years),3.0,"$200,000 - $400,000",190000,290000,240000,True,4,False,"Job Role: Quantitative Trader. Skills: Python, Machine Learning, Statistical Analysis, Trading Algorithms. Projects: Trading Strategy Development, Risk Models. Experience: Senior-level (5+ years)"
9,Civil Engineer,"AutoCAD, Structural Analysis, Project Management, STAAD Pro, Surveying, Construction Materials, Project Planning, Drafting, Site Safety, Problem Solving, Report Writing",autocad | structural analysis | project management | staad pro | surveying | construction materials | project planning | drafting | site safety | problem solving | report writing,"[""autocad"", ""structural analysis"", ""project management"", ""staad pro"", ""surveying"", ""construction materials"", ""project planning"", ""drafting"", ""site safety"", ""problem solving"", ""report writing""]","Bridge Design, Building Construction","AECOM, Bechtel, Jacobs",Technical,College,Mid-level (2-5 years),2.0,"$80,000 - $120,000",80000,120000,100000,True,11,False,"Job Role: Civil Engineer. Skills: AutoCAD, Structural Analysis, Project Management, STAAD Pro, Surveying, Construction Materials, Project Planning, Drafting, Site Safety, Problem Solving, Report Writing. Projects: Bridge Design, Building Construction. Experience: Mid-level (2-5 years)"
10,Healthcare Administrator,"Healthcare Management, EHR Systems, Healthcare Laws",healthcare management | ehr systems | healthcare laws,"[""healthcare management"", ""ehr systems"", ""healthcare laws""]","Hospital Operations Optimization, Staff Management","Kaiser Permanente, Mayo Clinic, Cleveland Clinic",General,College,Senior-level (5+ years),3.0,"$90,000 - $140,000",90000,140000,115000,True,3,False,"Job Role: Healthcare Administrator. Skills: Healthcare Management, EHR Systems, Healthcare Laws. Projects: Hospital Operations Optimization, Staff Management. Experience: Senior-level (5+ years)"
