Job_ID,Job_Role,Skills,Skill_Count,Experience,Experience_Level,Target_Students,Domain,Source,Companies,Projects,Salary_Range,Salary_Min,Salary_Max,Salary_Avg,Has_Salary_Data,Embedding_Text
1,Full Stack Developer,"JavaScript, Python, React, Node.js, MongoDB, AWS, Frontend + Backend Skills, Databases, API, Git, Debugging, Problem Solving",12,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Google, Facebook, Amazon","E-commerce Platform, Social Media Dashboard","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Full Stack Developer. Skills: JavaScript, Python, React, Node.js, MongoDB, AWS, Frontend + Backend Skills, Databases, API, Git, Debugging, Problem Solving. Experience: Mid-level (2-5 years). Domain: Technical"
2,Financial Analyst,"Financial Modeling, Excel, Bloomberg Terminal, Risk Analysis",4,Entry-level (0-2 years),1.0,College,General,CSV,"Goldman Sachs, JP Morgan, Morgan Stanley","Investment Portfolio Analysis, Market Research Reports","$75,000 - $95,000",75000,95000,85000,True,"Job Role: Financial Analyst. Skills: Financial Modeling, Excel, Bloomberg Terminal, Risk Analysis. Experience: Entry-level (0-2 years). Domain: General"
3,Mechanical Engineer,"AutoCAD, SolidWorks, FEA, GD&T, CAD, Thermodynamics, Fluid Mechanics, Material Science, Problem Solving, Manufacturing Processes, MATLAB, Stress Analysis, 3D Modelling",13,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"Boeing, General Electric, Siemens","Product Design, Manufacturing Process Optimization","$85,000 - $120,000",85000,120000,102500,True,"Job Role: Mechanical Engineer. Skills: AutoCAD, SolidWorks, FEA, GD&T, CAD, Thermodynamics, Fluid Mechanics, Material Science, Problem Solving, Manufacturing Processes, MATLAB, Stress Analysis, 3D Modelling. Experience: Mid-level (2-5 years). Domain: Technical"
4,Clinical Research Coordinator,"Clinical Trial Management, GCP, Medical Documentation, Patient Interaction, Data Entry, Clinical Trial Protocols, Observation, Reporting",8,Senior-level (5+ years),3.0,College,Medical,CSV+XLSX,"Pfizer, Johnson & Johnson, Novartis","Drug Trial Management, Patient Data Analysis","$70,000 - $100,000",70000,100000,85000,True,"Job Role: Clinical Research Coordinator. Skills: Clinical Trial Management, GCP, Medical Documentation, Patient Interaction, Data Entry, Clinical Trial Protocols, Observation, Reporting. Experience: Senior-level (5+ years). Domain: Medical"
5,Investment Banking Associate,"Financial Modeling, Valuation, M&A, Due Diligence",4,Mid-level (2-5 years),2.0,College,General,CSV,"Goldman Sachs, Morgan Stanley, BlackRock","Merger Analysis, IPO Documentation","$150,000 - $250,000",150000,250000,200000,True,"Job Role: Investment Banking Associate. Skills: Financial Modeling, Valuation, M&A, Due Diligence. Experience: Mid-level (2-5 years). Domain: General"
6,Supply Chain Manager,"ERP Systems, Logistics, Inventory Management, Six Sigma",4,Senior-level (5+ years),3.0,College,General,CSV,"Amazon, Walmart, P&G","Supply Chain Optimization, Vendor Management","$100,000 - $150,000",100000,150000,125000,True,"Job Role: Supply Chain Manager. Skills: ERP Systems, Logistics, Inventory Management, Six Sigma. Experience: Senior-level (5+ years). Domain: General"
7,Biomedical Engineer,"Medical Device Design, FDA Regulations, CAD",3,Mid-level (2-5 years),2.0,College,General,CSV,"Medtronic, Boston Scientific, Phillips","Medical Device Prototyping, Clinical Testing","$90,000 - $130,000",90000,130000,110000,True,"Job Role: Biomedical Engineer. Skills: Medical Device Design, FDA Regulations, CAD. Experience: Mid-level (2-5 years). Domain: General"
8,Quantitative Trader,"Python, Machine Learning, Statistical Analysis, Trading Algorithms",4,Senior-level (5+ years),3.0,College,General,CSV,"Citadel, Two Sigma, Renaissance Technologies","Trading Strategy Development, Risk Models","$200,000 - $400,000",200000,400000,300000,True,"Job Role: Quantitative Trader. Skills: Python, Machine Learning, Statistical Analysis, Trading Algorithms. Experience: Senior-level (5+ years). Domain: General"
9,Civil Engineer,"AutoCAD, Structural Analysis, Project Management, STAAD Pro, Surveying, Construction Materials, Project Planning, Drafting, Site Safety, Problem Solving, Report Writing",11,Mid-level (2-5 years),2.0,College,Technical,CSV+XLSX,"AECOM, Bechtel, Jacobs","Bridge Design, Building Construction","$80,000 - $120,000",80000,120000,100000,True,"Job Role: Civil Engineer. Skills: AutoCAD, Structural Analysis, Project Management, STAAD Pro, Surveying, Construction Materials, Project Planning, Drafting, Site Safety, Problem Solving, Report Writing. Experience: Mid-level (2-5 years). Domain: Technical"
10,Healthcare Administrator,"Healthcare Management, EHR Systems, Healthcare Laws",3,Senior-level (5+ years),3.0,College,General,CSV,"Kaiser Permanente, Mayo Clinic, Cleveland Clinic","Hospital Operations Optimization, Staff Management","$90,000 - $140,000",90000,140000,115000,True,"Job Role: Healthcare Administrator. Skills: Healthcare Management, EHR Systems, Healthcare Laws. Experience: Senior-level (5+ years). Domain: General"
